trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.7, 'e': 0.09632763823049303}",30,19,8.92239658965,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.09442022319630235}",20,9,5.61125004902,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.09255057751034329}",25,15,16.4761969463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.09071795328941251}",35,22,21.619864671,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.08892161745938634}",30,17,13.1137404105,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.0871608514619813}",25,18,10.9678489612,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.08543495096732123}",20,0,1.58296134095,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.7, 'e': 0.08374322559219596}",25,16,13.4695894319,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.0820849986238988}",20,11,6.85909416067,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.08045960674953244}",30,17,20.5899274406,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.07886639979067495}",30,20,9.91865047715,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.07730474044329974}",20,0,-21.6482290653,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.7, 'e': 0.07577400402284548}",25,8,25.749692623,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.07427357821433388}",20,2,32.8280940375,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.07280286282743559}",25,16,19.1588040936,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.07136126955638605}",25,14,16.4028568227,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.06994822174465536}",30,20,20.4908947545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.06856315415427791}",25,3,34.9210052952,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.06720551273974976}",30,19,-18.073682772,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.7, 'e': 0.06587475442640295}",20,12,8.30274270191,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.06457034689316847}",20,11,14.3547338067,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.0632917683596407}",20,13,12.228091689,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.06203850737735829}",25,19,13.3812364946,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.06081006262521795}",20,13,0.183211939222,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.05960594270893937}",20,14,10.5556429435,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.05842566596450083}",20,1,-16.2855497227,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.7, 'e': 0.05726876026546736}",25,6,26.8197311097,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.056134762834133725}",20,12,6.54618785639,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.05502322005640723}",30,11,19.0831433175,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.05393368730035602}",25,16,19.3406863344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.05286572873835037}",20,3,15.986968268,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.05181891717272583}",20,7,7.686865168,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.0507928338648985}",30,0,40.5315736846,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
